ID;XPATH
10@dub9-des1;10.128.16.72
10@estet-des2.1;10.128.4.48
10@rab51-des1;10.128.6.166
10@rosdom-des1;10.128.19.15
10@rp2300-des2;10.128.16.50
10@tp10-des1;10.128.6.42
10@tp11-des1;10.128.6.204
10@tp11-des2;10.128.15.55
10@tp145-des1;10.128.6.201
10@tp175-des1;10.128.16.48
10@tp19-des1;10.128.6.32
10@tp217-des1;10.128.15.8
10@tp232-des1;10.128.6.152
10@tp244-des1;10.128.6.75
10@tp529-des1;10.128.18.13
10@tp720-des1;10.128.6.54
10@tp735-des1;10.128.6.63
10@tp735-des2;10.128.6.77
10@tp740-des1;10.128.16.15
10@tp79-des1;10.128.15.12
10@tp79-des2;10.128.15.82
10@tp9-des1;10.128.6.147
10@tsj-mihail-des1;10.128.16.17
11@estet-des3.2;10.128.4.68
11@rosdom-des1;10.128.19.16
11@tp10-des1;10.128.6.44
11@tp11-des1;10.128.6.205
11@tp11-des2;10.128.15.54
11@tp145-des1;10.128.16.20
11@tp175-des1;10.128.16.126
11@tp19-des1;10.128.6.22
11@tp217-des1;10.128.15.18
11@tp232-des1;10.128.6.180
11@tp244-des1;10.128.6.76
11@tp529-des1;10.128.18.14
11@tp735-des1;10.128.6.62
11@tp735-des2;10.128.6.78
11@tp740-des1;10.128.16.18
11@tp79-des1;10.128.15.4
11@tp9-des1;10.128.6.174
11@tsj-mihail-des1;10.128.16.22
12@dub9-des1;10.128.6.197
12@estet-des3.1;10.128.4.61
12@rab51-des1;10.128.6.168
12@rosdom-des1;10.128.19.17
12@tp10-des1;10.128.15.51
12@tp11-des1;10.128.6.206
12@tp11-des2;10.128.15.53
12@tp145-des1;10.128.16.14
12@tp175-des1;10.128.16.53
12@tp19-des1;10.128.6.26
12@tp232-des1;10.128.6.95
12@tp244-des1;10.128.16.76
12@tp529-des1;10.128.18.15
12@tp720-des1;10.128.6.53
12@tp735-des2;10.128.6.87
12@tp740-des1;10.128.16.94
12@tp79-des1;10.128.6.156
12@tp9-des1;10.128.6.177
13@estet-des2.1;10.128.4.57
13@estet-des3.1;10.128.4.67
13@tp10-des1;10.128.15.62
13@tp11-des1;10.128.6.209
13@tp11-des2;10.128.15.56
13@tp145-des1;10.128.16.111
13@tp175-des1;10.128.16.55
13@tp19-des1;10.128.6.25
13@tp217-des1;10.128.15.46
13@tp529-des1;10.128.18.16
13@tp720-des1;10.128.16.4
13@tp735-des1;10.128.6.222
13@tp735-des2;10.128.16.106
13@tp740-des1;10.128.16.28
13@tp79-des1;10.128.6.173
13@tp9-des1;10.128.6.178
13@tsj-mihail-des1;10.128.16.40
14@dub9-des1;10.128.6.250
14@tp10-des1;10.128.15.70
14@tp11-des1;10.128.6.211
14@tp11-des2;10.128.15.61
14@tp145-des1;10.128.16.115
14@tp175-des1;10.128.16.58
14@tp19-des1;10.128.6.181
14@tp217-des1;10.128.15.64
14@tp232-des1;10.128.16.41
14@tp244-des1;10.128.6.89
14@tp720-des1;10.128.16.33
14@tp735-des1;10.128.6.223
14@tp740-des1;10.128.16.29
14@tp79-des1;10.128.6.176
14@tp9-des1;10.128.6.196
14@tsj-mihail-des1;10.128.16.42
15@dub9-des1;10.128.16.73
15@estet-des3.1;10.128.4.72
15@tp10-des1;10.128.15.84
15@tp11-des1;10.128.6.213
15@tp11-des2;10.128.15.68
15@tp145-des1;10.128.16.116
15@tp175-des1;10.128.16.108
15@tp19-des1;10.128.6.251
15@tp232-des1;10.128.16.68
15@tp244-des1;10.128.6.84
15@tp529-des1;10.128.18.19
15@tp720-des1;10.128.16.34
15@tp735-des1;10.128.6.241
15@tp740-des1;10.128.16.30
15@tp9-des1;10.128.6.221
15@tsj-mihail-des1;10.128.16.60
16@dub9-des1;10.128.16.86
16@tp11-des1;10.128.6.243
16@tp11-des2;10.128.15.69
16@tp145-des1;10.128.16.117
16@tp175-des1;10.128.16.64
16@tp19-des1;10.128.6.252
16@tp232-des1;10.128.16.69
16@tp244-des1;10.128.16.103
16@tp529-des1;10.128.18.20
16@tp720-des1;10.128.16.75
16@tp735-des2;10.128.16.141
16@tp740-des1;10.128.16.31
16@tp79-des1;10.128.15.15
16@tp9-des1;10.128.6.232
16@tsj-mihail-des1;10.128.16.61
17@tp11-des1;10.128.6.215
17@tp11-des2;10.128.15.74
17@tp145-des1;10.128.16.118
17@tp175-des1;10.128.16.65
17@tp19-des1;10.128.15.9
17@tp232-des1;10.128.16.70
17@tp244-des1;10.128.16.10
17@tp720-des1;10.128.16.91
17@tp735-des1;10.128.6.249
17@tp740-des1;10.128.16.36
17@tp79-des1;10.128.15.17
17@tp9-des1;10.128.6.244
17@tsj-mihail-des1;10.128.16.63
18@tp11-des1;10.128.6.216
18@tp145-des1;10.128.16.119
18@tp175-des1;10.128.16.74
18@tp19-des1;10.128.15.10
18@tp232-des1;10.128.16.84
18@tp244-des1;10.128.16.13
18@tp720-des1;10.128.16.131
18@tp735-des1;10.128.6.254
18@tp740-des1;10.128.16.54
18@tp79-des1;10.128.15.22
18@tp9-des1;10.128.15.23
18@tsj-mihail-des1;10.128.16.67
19@tp145-des1;10.128.16.120
19@tp175-des1;10.128.16.78
19@tp19-des1;10.128.15.13
19@tp232-des1;10.128.16.104
19@tp243-des1;10.128.16.93
19@tp244-des1;10.128.16.19
19@tp735-des1;10.128.6.144
19@tp740-des1;10.128.16.88
19@tp79-des1;10.128.15.26
19@tp9-des1;10.128.15.24
19@tsj-mihail-des1;10.128.16.77
1@adm-des1.2;10.128.2.4
1@adm-des2.3;10.128.2.31
1@adm-des3.3;10.128.2.17
1@adm-des6.1;10.128.2.14
1@adm-des6.2;10.128.2.18
1@adm-des7.3;10.128.2.41
1@br13-des6;10.128.0.10
1@centr5-des;10.128.6.134
1@dub9-des1;10.128.6.194
1@elen4-des2;10.128.6.127
1@elen4-des5;10.128.6.124
1@estet-des1.1;10.128.4.38
1@estet-des2.1;10.128.4.4
1@estet-des2.2;10.128.4.20
1@estet-des3.1;10.128.4.16
1@estet-des3.2;10.128.4.6
1@estet-des4.1;10.128.4.21
1@marsh-des1.1;10.128.8.20
1@marsh-des1.2;10.128.8.19
1@marsh-des1.3;10.128.8.5
1@marsh-des1.4;10.128.8.13
1@marsh-des2.2;10.128.8.12
1@marsh-des4.1;10.128.8.37
1@marsh-des5.2;10.128.8.27
1@marsh-des6.2;10.128.8.28
1@molod15-des1;10.128.6.41
1@monblan-des4;10.128.14.4
1@pavlova9-eñ1;10.128.6.235
1@rab51-des1;10.128.6.157
1@razvod12-des1;10.128.6.106
1@razvod12-des5;10.128.6.115
1@razvod12-des7;10.128.6.116
1@res3-des1;10.128.17.4
1@rosdom-des1;10.128.19.5
1@rosenergo-ec1;
1@rp2300-des2;10.128.6.169
1@tp10-des1;10.128.6.150
1@tp11-des1;10.128.6.19
1@tp11-des2;10.128.15.21
1@tp175-des2;10.128.16.90
1@tp19-des1;10.128.6.30
1@tp19-des2;10.128.15.58
1@tp217-des1;10.128.6.11
1@tp232-des1;10.128.6.65
1@tp243-des1;10.128.6.66
1@tp244-des1;10.128.6.72
1@tp284-des1;10.128.6.99
1@tp720-des1;10.128.6.45
1@tp735-des1;10.128.6.61
1@tp740-des1;10.128.6.80
1@tp79-des1;10.128.6.5
1@tp79-des2;10.128.15.63
1@tp9-des1;10.128.6.33
1@tsj-mihail-des1;10.128.6.224
1@yakor-des2.1;10.128.12.4
1@yakor-des3.2;10.128.12.6
1@yakor-des7.2;10.128.12.10
1@yakor-des8.1;10.128.12.14
20@tp11-des1;10.128.6.218
20@tp145-des1;10.128.16.121
20@tp175-des1;10.128.16.79
20@tp19-des1;10.128.15.14
20@tp243-des1;10.128.6.48
20@tp244-des1;10.128.16.127
20@tp284-des1;10.128.16.139
20@tp740-des1;10.128.16.99
20@tp79-des1;10.128.15.27
20@tp9-des1;10.128.15.33
20@tsj-mihail-des1;10.128.16.85
21@tp11-des1;10.128.6.230
21@tp145-des1;10.128.16.123
21@tp175-des1;10.128.16.80
21@tp19-des1;10.128.15.16
21@tp244-des1;10.128.16.27
21@tp740-des1;10.128.16.128
21@tp79-des1;10.128.15.28
21@tp9-des1;10.128.15.41
21@tsj-mihail-des1;10.128.16.98
22@tp11-des1;10.128.6.231
22@tp175-des1;10.128.16.81
22@tp19-des1;10.128.15.32
22@tp735-des1;10.128.16.95
22@tp740-des1;10.128.16.135
22@tp79-des1;10.128.15.29
22@tp9-des1;10.128.15.42
22@tsj-mihail-des1;10.128.16.102
23@centr7-des;10.128.6.131
23@tp11-des1;10.128.6.240
23@tp175-des1;10.128.16.83
23@tp19-des1;10.128.15.36
23@tp735-des1;10.128.16.35
23@tp79-des1;10.128.15.30
23@tp9-des1;10.128.15.45
23@tsj-mihail-des1;10.128.16.132
24@centr7-des;10.128.6.142
24@tp11-des1;10.128.6.246
24@tp175-des1;10.128.16.87
24@tp19-des1;10.128.15.37
24@tp735-des1;10.128.16.37
24@tp740-des1;10.128.16.140
24@tp79-des1;10.128.15.39
24@tp9-des1;10.128.15.57
25@dbednogo3-des1;37.9.129.146..150
25@ps43-des1;10.128.6.219
25@rosdom-des1;10.128.19.4
25@tp11-des1;10.128.6.247
25@tp175-des1;10.128.16.89
26@nevskiy26-des1;37.9.135.118
27@tsj-mihail-des1;10.128.16.137
2@adm-des2.1;10.128.2.64
2@adm-des2.3;10.128.2.71
2@adm-des2.4;10.128.2.54
2@adm-des3.2;10.128.2.27
2@adm-des3.3;10.128.2.23
2@adm-des5.2;10.128.2.24
2@adm-des6.2;10.128.2.91
2@adm-des7.2;10.128.2.77
2@adm-des8.1;10.128.2.15
2@br13-des2;10.128.0.23
2@br13-des6;10.128.0.15
2@br13-des7;10.128.0.12
2@dub9-des1;10.128.6.210
2@elen4-des2;10.128.6.125
2@elen4-des4;10.128.6.122
2@estet-des1.1;10.128.4.10
2@estet-des4.1;10.128.4.37
2@marsh-des1.1;10.128.8.6
2@marsh-des1.2;10.128.8.45
2@marsh-des1.3;10.128.8.7
2@marsh-des3.3;10.128.8.10
2@molod15-des2;10.128.15.47
2@monblan-des4;10.128.14.5
2@pavlova9-eñ1;10.128.6.236
2@razvod12-des2;10.128.6.107
2@razvod12-des4;10.128.6.114
2@razvod12-des5;10.128.6.212
2@razvod12-des8;10.128.6.110
2@res3-des1;10.128.17.5
2@res4-des1;10.128.6.100
2@rosdom-des1;10.128.19.6
2@rp2300-des2;10.128.16.62
2@tp11-des1;10.128.6.17
2@tp11-des2;10.128.15.19
2@tp145-des1;10.128.6.199
2@tp175-des2;10.128.16.92
2@tp19-des1;10.128.6.29
2@tp19-des2;10.128.15.59
2@tp217-des1;10.128.6.9
2@tp217-ec1;10.128.6.9
2@tp232-des1;10.128.6.64
2@tp243-des1;10.128.6.67
2@tp244-des1;10.128.6.253
2@tp284-des1;10.128.6.97
2@tp529-des1;10.128.6.148
2@tp720-des1;10.128.6.50
2@tp740-des1;10.128.6.81
2@tp79-des1;10.128.6.4
2@tp79-des2;10.128.15.67
2@tp9-des1;10.128.6.39
2@tp9-des2;10.128.15.20
2@tsj-mihail-des1;10.128.6.225
2@yakor-des1.2;10.128.12.9
2@yakor-des4.1;10.128.12.8
3@adm-des2.2;10.128.2.62
3@adm-des2.3;10.128.2.95
3@adm-des2.4;10.128.2.92
3@adm-des3.1;10.128.2.65
3@adm-des3.2;10.128.2.60
3@adm-des4.1;10.128.2.56
3@adm-des5.1;10.128.2.30
3@adm-des5.2;10.128.2.28
3@adm-des8.1;10.128.2.19
3@estet-des1.1;10.128.4.19
3@estet-des2.1;10.128.4.8
3@estet-des2.2;10.128.4.32
3@estet-des3.1;10.128.4.22
3@estet-des3.2;10.128.4.14
3@estet-des4.1;10.128.4.40
3@marsh-des1.1;10.128.8.14
3@marsh-des1.2;10.128.8.26
3@marsh-des1.3;10.128.8.23
3@marsh-des2.2;10.128.8.24
3@marsh-des4.3;10.128.8.51
3@marsh-des5.1;10.128.8.34
3@marsh-des5.2;10.128.8.49
3@molod15-des2;10.128.15.65
3@monblan-des4;10.128.14.6
3@pavlova9-ec1;10.128.6.214
3@rab51-des1;10.128.6.159
3@razvod12-des2;10.128.6.145
3@razvod12-des3;10.128.6.136
3@razvod12-des4;10.128.6.103
3@razvod12-des5;10.128.6.140
3@razvod12-des6;10.128.6.220
3@razvod12-des7;10.128.6.112
3@res3-des1;10.128.17.6
3@res4-des1;10.128.6.154
3@rosdom-des1;10.128.19.7
3@rp2300-des2;10.128.16.105
3@tp10-des1;10.128.15.5
3@tp11-des1;10.128.6.18
3@tp11-des2;10.128.15.11
3@tp145-des1;10.128.6.86
3@tp175-des1;10.128.16.114
3@tp175-des2;10.128.16.107
3@tp19-des1;10.128.6.28
3@tp19-des2;10.128.15.60
3@tp217-des1;10.128.6.10
3@tp232-des1;10.128.6.68
3@tp243-des1;10.128.6.70
3@tp244-des1;10.128.6.92
3@tp284-des1;10.128.16.7
3@tp529-des1;10.128.18.4
3@tp720-des1;10.128.16.129
3@tp735-des1;10.128.6.91
3@tp735-des2;10.128.16.51
3@tp740-des1;10.128.6.187
3@tp79-des1;10.128.6.7
3@tp79-des2;10.128.15.52
3@tp9-des1;10.128.6.40
3@tp9-des2;10.128.15.72
3@tsj-mihail-des1;10.128.6.226
3@tsj-mihail-des2;10.128.16.136
4@adm-des1.1;10.128.2.36
4@adm-des1.2;10.128.2.7
4@adm-des2.4;10.128.2.94
4@adm-des3.2;10.128.2.72
4@adm-des4.1;10.128.2.70
4@adm-des5.2;10.128.2.40
4@br13-des5;10.128.0.19
4@br13-des6;10.128.0.21
4@centr5-des;10.128.6.141
4@centr7-des;10.129.160.4
4@dub9-des1;10.128.16.25
4@estet-des1.1;10.128.4.23
4@estet-des2.1;10.128.4.9
4@estet-des2.2;10.128.4.36
4@estet-des3.1;10.128.4.39
4@estet-des3.2;10.128.4.15
4@estet-des4.1;10.128.4.51
4@marsh-des1.1;10.128.8.31
4@marsh-des1.3;10.128.8.29
4@marsh-des1.4;10.128.8.50
4@marsh-des2.2;10.128.8.47
4@marsh-des3.1;10.128.8.56
4@pavlova9-eñ1;10.128.6.237
4@razvod12-des1;10.128.6.171
4@razvod12-des4;10.128.6.109
4@razvod12-des6;10.128.6.98
4@razvod12-des7;10.128.6.104
4@razvod12-des8;10.128.6.105
4@res3-des1;10.128.17.7
4@res4-des1;10.128.18.8
4@rosdom-des1;10.128.19.8
4@rp2300-des2;10.128.16.24
4@tp10-des1;10.128.15.31
4@tp11-des1;10.128.6.15
4@tp11-des2;10.128.15.25
4@tp145-des1;10.128.6.248
4@tp175-des1;10.128.16.113
4@tp19-des1;10.128.6.27
4@tp19-des2;10.128.15.66
4@tp217-des1;10.128.6.12
4@tp217-ec1;10.128.6.12
4@tp232-des1;10.128.6.71
4@tp243-des1;10.128.16.23
4@tp244-des1;10.128.6.186
4@tp284-des1;10.128.6.96
4@tp502-des1;10.128.18.7
4@tp529-des1;10.128.18.5
4@tp720-des1;10.128.6.46
4@tp735-des1;10.128.6.56
4@tp740-des1;10.128.6.188
4@tp79-des1;10.128.6.20
4@tp9-des1;10.128.6.36
4@tp9-des2;10.128.15.73
4@tsj-mihail-des1;10.128.6.227
4@yakor-des2.1;10.128.12.15
5@adm-des1.2;10.128.2.11
5@adm-des3.2;10.128.2.68
5@adm-des5.1;10.128.2.67
5@adm-des8.1;10.128.2.44
5@centr7-des;10.128.6.130
5@dub9-des1;10.128.16.52
5@estet-des1.1;10.128.4.24
5@estet-des3.2;10.128.4.26
5@estet-des4.1;10.128.4.59
5@marsh-des1.3;10.128.8.30
5@marsh-des3.3;10.128.8.35
5@pavlova9-eñ1;10.128.6.238
5@rab51-des1;10.128.6.161
5@razvod12-des4;10.128.6.198
5@razvod12-des7;10.128.6.108
5@razvod12-des8;10.128.6.184
5@res3-des1;10.128.17.8
5@res4-des1;10.128.18.18
5@rosdom-des1;10.128.19.9
5@rp2300-des2;10.128.16.43
5@tp10-des1;10.128.15.35
5@tp11-des1;10.128.6.14
5@tp11-des2;10.128.15.34
5@tp145-des1;10.128.6.208
5@tp175-des1;10.128.16.122
5@tp19-des1;10.128.6.21
5@tp217-des1;10.128.6.102
5@tp232-des1;10.128.6.69
5@tp243-des1;10.128.16.38
5@tp244-des1;10.128.16.32
5@tp284-des1;10.128.16.96
5@tp529-des1;10.128.18.6
5@tp720-des1;10.128.6.51
5@tp735-des1;10.128.6.60
5@tp740-des1;10.128.6.85
5@tp79-des1;10.128.6.13
5@tp79-des2;10.128.15.77
5@tp9-des1;10.128.6.34
5@tp9-des2;10.128.15.76
5@tsj-mihail-des1;10.128.6.228
6@adm-des1.2;10.128.2.75
6@adm-des5.2;10.128.2.80
6@adm-des8.1;10.128.2.61
6@centr10-des;10.128.6.129
6@centr7-des;10.129.161.4
6@dub9-des1;10.128.16.57
6@estet-des1.1;10.128.4.35
6@estet-des2.1;10.128.4.27
6@estet-des2.2;10.128.4.45
6@estet-des3.1;10.128.4.141
6@marsh-des1.3;10.128.8.39
6@marsh-des3.3;10.128.8.44
6@pavlova9-eñ1;10.128.6.239
6@rab51-des1;10.128.6.162
6@razvod12-des7;10.128.6.35
6@res3-des1;10.128.17.9
6@rosdom-des1;10.128.19.10
6@rp2300-des2;10.128.16.44
6@tp10-des1;10.128.6.43
6@tp11-des1;10.128.6.16
6@tp11-des2;10.128.15.38
6@tp145-des1;10.128.6.88
6@tp19-des1;10.128.6.153
6@tp217-des1;10.128.6.121
6@tp232-des1;10.128.6.119
6@tp243-des1;10.128.16.39
6@tp244-des1;10.128.16.56
6@tp284-des1;10.128.16.97
6@tp529-des1;10.128.18.9
6@tp720-des1;10.128.6.47
6@tp735-des1;10.128.6.58
6@tp735-des2;10.128.16.82
6@tp740-des1;10.128.6.189
6@tp79-des1;10.128.6.8
6@tp79-des2;10.128.15.78
6@tp9-des1;10.128.6.37
6@tp9-des2;10.128.15.83
7@adm-des4.2;10.128.2.81
7@centr7-des;10.128.6.128
7@estet-des1.1;10.128.4.44
7@estet-des2.1;10.128.4.31
7@estet-des2.2;10.128.4.62
7@estet-des3.1;10.128.4.49
7@estet-des3.2;10.128.4.30
7@estet-des4.1;10.128.4.70
7@marsh-des1.3;10.128.8.41
7@rab51-des1;10.128.6.163
7@res4-des1;10.128.18.22
7@rosdom-des1;10.128.19.12
7@rp2300-des2;10.128.16.45
7@tp10-des1;10.128.6.41
7@tp11-des1;10.128.6.155
7@tp11-des2;10.128.15.43
7@tp175-des2;10.128.16.110
7@tp19-des1;10.128.6.31
7@tp217-des1;10.128.6.151
7@tp232-des1;10.128.6.120
7@tp243-des1;10.128.6.245
7@tp284-des1;10.128.16.100
7@tp529-des1;10.128.18.10
7@tp720-des1;10.128.6.49
7@tp735-des1;10.128.6.59
7@tp735-des2;10.128.6.82
7@tp740-des1;10.128.6.190
7@tp79-des1;10.128.6.185
7@tp79-des2;10.128.15.79
7@tp9-des1;10.128.15.6
7@tsj-mihail-des1;10.128.16.16
8@adm-des4.2;10.128.2.78
8@dub9-des1;10.128.16.5
8@estet-des1.1;10.128.4.46
8@estet-des2.1;10.128.4.33
8@estet-des2.2;10.128.4.64
8@estet-des3.1;10.128.4.43
8@estet-des3.2;10.128.4.34
8@marsh-des1.1;10.128.8.52
8@marsh-des1.3;10.128.8.42
8@rab51-des1;10.128.6.164
8@res4-des1;10.128.18.23
8@rosdom-des1;10.128.19.13
8@rp2300-des2;10.128.16.46
8@tp10-des1;10.128.15.48
8@tp11-des1;10.128.6.200
8@tp11-des2;10.128.15.44
8@tp145-des1;10.128.6.79
8@tp19-des1;10.128.6.23
8@tp217-des1;10.128.6.175
8@tp243-des1;10.128.16.124
8@tp244-des1;10.128.6.83
8@tp529-des1;10.128.18.11
8@tp735-des1;10.128.6.57
8@tp735-des2;10.128.6.74
8@tp740-des1;10.128.6.191
8@tp79-des1;10.128.6.6
8@tp79-des2;10.128.15.80
8@tp9-des1;10.128.6.38
8@tsj-mihail-des1;10.128.16.9
9@9sov-des2;10.128.15.221
9@dub9-des1;10.128.16.71
9@estet-des1.1;10.128.4.50
9@estet-des2.1;10.128.4.47
9@estet-des3.1;10.128.4.53
9@estet-des3.2;10.128.4.63
9@marsh-des1.3;10.128.8.46
9@rab51-des1;10.128.6.165
9@rdg-des2;37.9.135.122..126
9@rosdom-des1;10.128.19.14
9@rp2300-des2;10.128.16.47
9@tp10-des1;10.128.15.49
9@tp11-des1;10.128.6.203
9@tp11-des2;10.128.15.50
9@tp145-des1;10.128.6.202
9@tp175-des1;10.128.16.134
9@tp19-des1;10.128.6.24
9@tp217-des1;10.128.6.179
9@tp244-des1;10.128.16.12
9@tp284-des1;10.128.16.101
9@tp529-des1;10.128.18.12
9@tp720-des1;10.128.6.52
9@tp735-des1;10.128.6.55
9@tp735-des2;10.128.6.90
9@tp740-des1;10.128.6.233
9@tp79-des1;10.128.6.101
9@tp79-des2;10.128.15.81
9@tp9-des1;10.128.6.146
9@tsj-mihail-des1;10.128.16.11
